STORE,UPC,WEEK,MOVE,PRICE,PROFIT
112,3828111217,1,90,0.43,12.09
112,3828111217,2,41,0.43,12.09
112,3828111217,3,76,0.43,12.09
112,3828111217,4,39,0.43,12.09
112,3828111217,5,84,0.43,12.09
112,3828111217,6,2,0.43,12.09
112,3828111217,7,155,0.43,12.09
112,3828111217,8,107,0.43,12.09
112,3828111217,9,147,0.43,12.09
112,3828111217,10,122,0.43,12.09
112,3828111217,11,66,0.43,12.09
112,3828111217,12,104,0.43,12.09
112,3828111217,13,78,0.43,12.09
112,3828111217,14,113,0.43,12.09
112,3828111217,15,73,0.43,12.09
112,3828111217,16,5,0.43,12.09
112,3828111217,17,105,0.43,12.09
112,3828111217,18,74,0.43,12.09
112,3828111217,19,104,0.43,12.09
112,3828111217,20,76,0.43,12.09
112,3828111217,21,91,0.43,12.09
112,3828111217,22,42,0.43,12.09
112,3828111217,23,82,0.43,12.09
112,3828111217,24,86,0.43,12.09
112,3828111217,25,84,0.43,12.09
112,3828111217,26,97,0.43,12.09
112,3828111217,27,73,0.43,12.09
112,3828111217,28,80,0.43,12.09
112,3828111217,29,27,0.43,12.09
112,3828111217,30,89,0.43,12.09
112,3828111217,31,129,0.43,12.09
112,3828111217,32,113,0.43,12.09
112,3828111217,33,82,0.43,12.09
112,3828111217,34,120,0.43,12.09
112,3828111217,35,68,0.43,12.09
112,3828111217,36,84,0.43,12.09
112,3828111217,37,111,0.43,12.09
112,3828111217,38,135,0.43,12.09
112,3828111217,39,94,0.43,12.09
112,3828111217,40,125,0.43,12.09
112,3828111217,41,121,0.43,12.09
112,3828111217,42,127,0.43,12.09
112,3828111217,43,143,0.43,12.09
112,3828111217,44,118,0.43,12.09
112,3828111217,45,77,0.43,12.09
112,3828111217,46,132,0.43,12.09
112,3828111217,47,119,0.43,12.09
112,3828111217,48,129,0.43,12.09
112,3828111217,49,104,0.43,12.09
112,3828111217,50,111,0.43,12.09
112,3828111217,51,117,0.43,12.09
112,3828111217,52,118,0.43,12.09
112,3828111217,53,91,0.43,12.09
112,3828111217,54,48,0.43,12.09
112,3828111217,55,67,0.43,12.09
112,3828111217,56,70,0.43,12.09
112,3828111217,57,42,0.43,12.09
112,3828111217,58,129,0.43,12.09
112,3828111217,59,109,0.43,12.09
112,3828111217,60,90,0.43,12.09
112,3828111217,61,72,0.43,12.09
112,3828111217,62,129,0.43,12.09
112,3828111217,63,78,0.43,12.09
112,3828111217,64,136,0.43,12.09
112,3828111217,65,88,0.43,12.09
112,3828111217,66,74,0.43,12.09
112,3828111217,67,97,0.43,12.09
112,3828111217,68,0,0,0
112,3828111217,69,85,0.43,12.09
112,3828111217,70,83,0.43,12.09
112,3828111217,71,83,0.48,21.25
112,3828111217,72,59,0.48,21.25
112,3828111217,73,88,0.48,21.25
112,3828111217,74,51,0.48,21.25
112,3828111217,75,55,0.48,21.25
112,3828111217,76,47,0.48,21.25
112,3828111217,77,59,0.48,21.25
112,3828111217,78,35,0.48,21.25
112,3828111217,79,107,0.48,21.25
112,3828111217,80,64,0.48,21.25
112,3828111217,81,72,0.48,50.83
112,3828111217,82,97,0.48,50.83
112,3828111217,83,79,0.48,21.25
112,3828111217,84,65,0.48,21.25
112,3828111217,85,67,0.48,21.25
112,3828111217,86,112,0.48,21.25
112,3828111217,87,84,0.48,21.25
112,3828111217,88,52,0.48,21.25
112,3828111217,89,90,0.48,21.25
112,3828111217,90,101,0.48,21.25
112,3828111217,91,71,0.48,21.25
112,3828111217,92,86,0.48,21.25
112,3828111217,93,109,0.48,21.25
112,3828111217,94,59,0.48,21.25
112,3828111217,95,138,0.48,21.25
112,3828111217,96,108,0.48,21.25
112,3828111217,97,123,0.48,21.25
112,3828111217,98,62,0.48,21.25
112,3828111217,99,39,0.48,21.25
112,3828111217,100,62,0.48,21.25
112,3828111217,101,90,0.48,21.25
112,3828111217,102,82,0.48,21.25
112,3828111217,103,96,0.48,21.25
112,3828111217,104,88,0.48,21.25
112,3828111217,105,71,0.48,21.25
112,3828111217,106,61,0.48,21.25
112,3828111217,107,50,0.48,21.25
112,3828111217,108,56,0.48,21.25
112,3828111217,109,63,0.48,21.25
112,3828111217,110,29,0.48,21.25
112,3828111217,111,58,0.48,21.25
112,3828111217,112,68,0.48,21.25
112,3828111217,113,39,0.48,21.25
112,3828111217,114,60,0.48,21.25
112,3828111217,115,56,0.48,21.25
112,3828111217,116,58,0.48,21.25
112,3828111217,117,54,0.48,21.25
112,3828111217,118,56,0.48,21.25
112,3828111217,119,93,0.48,21.25
112,3828111217,120,42,0.48,21.25
112,3828111217,121,102,0.48,21.25
112,3828111217,122,42,0.48,21.25
112,3828111217,123,69,0.47,22.34
112,3828111217,124,52,0.45,26
112,3828111217,125,78,0.45,26
112,3828111217,126,57,0.45,26
112,3828111217,127,52,0.45,26
112,3828111217,128,51,0.45,26
112,3828111217,129,71,0.48,30.62
112,3828111217,130,58,0.48,30.62
112,3828111217,131,69,0.48,30.62
112,3828111217,132,61,0.48,30.62
112,3828111217,133,49,0.48,30.62
112,3828111217,134,66,0.48,30.62
112,3828111217,135,69,0.48,30.62
112,3828111217,136,48,0.48,30.62
112,3828111217,137,96,0.48,30.62
112,3828111217,138,29,0.48,30.62
112,3828111217,139,94,0.42,20.71
112,3828111217,140,75,0.48,30.62
112,3828111217,141,68,0.48,30.62
112,3828111217,142,53,0.48,30.62
112,3828111217,143,77,0.48,30.62
112,3828111217,144,56,0.48,24.79
112,3828111217,145,52,0.48,25.83
112,3828111217,146,68,0.48,29.16
112,3828111217,147,75,0.48,30.41
112,3828111217,148,63,0.48,32.91
112,3828111217,149,9,0.5,35.6
112,3828111217,150,53,0.46,29.56
112,3828111217,151,85,0.42,22.14
112,3828111217,152,69,0.42,21.66
112,3828111217,153,84,0.42,21.66
112,3828111217,154,35,0.42,21.42
112,3828111217,155,81,0.42,20.95
112,3828111217,156,65,0.42,20.95
112,3828111217,157,56,0.42,20.95
112,3828111217,158,49,0.42,20.95
112,3828111217,159,60,0.42,20.71
112,3828111217,160,64,0.42,20.71
112,3828111217,161,52,0.42,20.71
112,3828111217,162,39,0.42,20.71
112,3828111217,163,34,0.42,20.71
112,3828111217,164,54,0.42,20.71
112,3828111217,165,38,0.42,20.71
112,3828111217,166,45,0.42,20.71
112,3828111217,167,62,0.42,20.71
112,3828111217,168,70,0.42,20.71
112,3828111217,169,54,0.42,20.71
112,3828111217,170,55,0.42,20.71
112,3828111217,171,61,0.42,20.71
112,3828111217,172,53,0.42,20.71
112,3828111217,173,70,0.42,20.71
112,3828111217,174,52,0.42,20.71
112,3828111217,175,46,0.42,20.71
112,3828111217,176,71,0.42,20.71
112,3828111217,177,67,0.42,15.47
112,3828111217,178,61,0.42,-6.42
112,3828111217,179,48,0.42,-5
112,3828111217,180,80,0.42,20.71
112,3828111217,181,48,0.42,20.71
112,3828111217,182,24,0.42,20.71
112,3828111217,183,60,0.42,20.71
112,3828111217,184,37,0.42,20.71
112,3828111217,185,70,0.42,20.71
112,3828111217,186,61,0.42,20.71
112,3828111217,187,44,0.42,20.71
112,3828111217,188,67,0.46,27.6
112,3828111217,189,42,0.47,29.14
112,3828111217,190,56,0.47,29.14
112,3828111217,191,40,0.47,29.14
112,3828111217,192,68,0.47,29.14
112,3828111217,193,31,0.47,29.14
112,3828111217,194,26,0.55,39.45
112,3828111217,195,8,0.55,39.45
112,3828111217,196,20,0.55,39.45
112,3828111217,197,15,0.55,39.45
112,3828111217,198,16,0.55,39.45
112,3828111217,199,16,0.55,39.45
112,3828111217,200,13,0.55,39.45
112,3828111217,201,28,0.55,39.45
112,3828111217,202,116,0.4,16.75
112,3828111217,203,80,0.42,20.71
112,3828111217,204,11,0.55,39.45
112,3828111217,205,55,0.55,39.45
112,3828111217,206,73,0.5,33.4
112,3828111217,207,75,0.5,33.4
112,3828111217,208,42,0.55,39.45
112,3828111217,209,34,0.55,39.45
112,3828111217,210,17,0.55,39.45
112,3828111217,211,27,0.55,39.45
112,3828111217,212,25,0.55,39.45
112,3828111217,213,34,0.55,39.45
112,3828111217,214,29,0.55,39.45
112,3828111217,215,19,0.55,39.45
112,3828111217,216,4,0.55,39.45
112,3828111217,217,8,0.55,39.45
112,3828111217,218,15,0.55,39.45
112,3828111217,219,0,0,0
112,3828111217,220,45,0.55,39.45
112,3828111217,221,29,0.55,39.45
112,3828111217,222,46,0.5,33.4
112,3828111217,223,14,0.52,35.96
112,3828111217,224,26,0.55,39.45
